[2022-12-26 07:03:24.420] [info] Focus Quality Measure : 249.21235695358024
[2022-12-26 07:03:24.471] [info] Focus Quality Measure : 250.75529528839508
[2022-12-26 07:03:24.522] [info] Focus Quality Measure : 249.5904810587654
[2022-12-26 07:03:24.573] [info] Focus Quality Measure : 250.82858986617282
[2022-12-26 07:03:24.625] [info] Focus Quality Measure : 250.8593109091358
[2022-12-26 07:03:24.675] [info] Focus Quality Measure : 248.1778387832099
[2022-12-26 07:03:24.726] [info] Focus Quality Measure : 247.88756542765427
[2022-12-26 07:03:24.777] [info] Focus Quality Measure : 251.56536823654318
[2022-12-26 07:03:24.828] [info] Focus Quality Measure : 250.52761147209878
[2022-12-26 07:03:24.879] [info] Focus Quality Measure : 250.56569301283952
[2022-12-26 07:03:24.930] [info] Focus Quality Measure : 252.33590398222222
[2022-12-26 07:03:24.981] [info] Focus Quality Measure : 252.76081944444442
[2022-12-26 07:03:25.032] [info] Focus Quality Measure : 248.15849717283953
[2022-12-26 07:03:25.083] [info] Focus Quality Measure : 248.94231640444448
[2022-12-26 07:03:25.134] [info] Focus Quality Measure : 249.07103071555554
[2022-12-26 07:03:25.185] [info] Focus Quality Measure : 251.83295258024694
[2022-12-26 07:03:25.234] [info] Focus Quality Measure : 251.98398852543212
[2022-12-26 07:03:25.285] [info] Focus Quality Measure : 250.79078395061728
[2022-12-26 07:03:25.336] [info] Focus Quality Measure : 250.99227030913585
[2022-12-26 07:03:25.387] [info] Focus Quality Measure : 248.6357412222222
[2022-12-26 07:03:25.438] [info] Focus Quality Measure : 252.06870655555556
[2022-12-26 07:03:25.489] [info] Focus Quality Measure : 250.89753911654324
[2022-12-26 07:03:25.540] [info] Focus Quality Measure : 252.1669067377778
[2022-12-26 07:03:25.591] [info] Focus Quality Measure : 251.1718763254321
[2022-12-26 07:03:25.642] [info] Focus Quality Measure : 250.42887391555556
[2022-12-26 07:03:25.693] [info] Focus Quality Measure : 252.98168542024695
[2022-12-26 07:03:25.744] [info] Focus Quality Measure : 249.7550314488889
[2022-12-26 07:03:25.795] [info] Focus Quality Measure : 251.21842915358025
[2022-12-26 07:03:25.846] [info] Focus Quality Measure : 249.2658887091358
[2022-12-26 07:03:25.896] [info] Focus Quality Measure : 249.96977632395064
[2022-12-26 07:03:25.947] [info] Focus Quality Measure : 247.19985402469135
[2022-12-26 07:03:25.998] [info] Focus Quality Measure : 248.23315554765435
[2022-12-26 07:03:26.049] [info] Focus Quality Measure : 248.6181534809877
[2022-12-26 07:03:26.100] [info] Focus Quality Measure : 248.57949641432103
[2022-12-26 07:03:26.151] [info] Focus Quality Measure : 250.51129291654325
[2022-12-26 07:03:26.202] [info] Focus Quality Measure : 248.62936145728395
[2022-12-26 07:03:26.253] [info] Focus Quality Measure : 251.18293415506176
[2022-12-26 07:03:26.304] [info] Focus Quality Measure : 251.96027359950617
[2022-12-26 07:03:26.355] [info] Focus Quality Measure : 251.38538514765435
[2022-12-26 07:03:26.406] [info] Focus Quality Measure : 250.9562103580247
[2022-12-26 07:03:26.457] [info] Focus Quality Measure : 251.52282424691356
[2022-12-26 07:03:26.508] [info] Focus Quality Measure : 251.50062217283954
[2022-12-26 07:03:26.559] [info] Focus Quality Measure : 249.88397822222225
[2022-12-26 07:03:26.609] [info] Focus Quality Measure : 251.12389045728395
[2022-12-26 07:03:26.660] [info] Focus Quality Measure : 249.03428024691362
[2022-12-26 07:03:26.711] [info] Focus Quality Measure : 250.3444993377778
[2022-12-26 07:03:26.762] [info] Focus Quality Measure : 249.37684735802472
[2022-12-26 07:03:26.813] [info] Focus Quality Measure : 249.74945161283952
[2022-12-26 07:03:26.864] [info] Focus Quality Measure : 250.01215667950615
[2022-12-26 07:03:26.915] [info] Focus Quality Measure : 252.1981034587654
[2022-12-26 07:03:26.966] [info] Focus Quality Measure : 251.9751318439506
[2022-12-26 07:03:27.017] [info] Focus Quality Measure : 249.5041531239506
